company_id,type,rule_id,text,confidence_pct
1,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
1,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
1,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
1,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
1,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
2,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
2,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
2,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
2,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
3,con,CON_DEFAULT,Exposed to macroeconomic cyclicality and commodity price fluctuations,75
3,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
3,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
3,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
4,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
4,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
4,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
4,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
4,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
5,con,CON_DEFAULT,Exposed to macroeconomic cyclicality and commodity price fluctuations,75
5,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
5,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
5,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
5,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
6,con,CON_DEFAULT,Exposed to macroeconomic cyclicality and commodity price fluctuations,75
6,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
6,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
6,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
6,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,82
6,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
7,con,CON_DEFAULT,Exposed to macroeconomic cyclicality and commodity price fluctuations,75
7,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
7,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
7,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,92
